"filename","min","max","mean","median","sd","skewness","kurtosis"
"Kodak_M1063_0_10021.dat",-2147483583,2147483586,-8135707.13231765,653250.5,1239331503.91804,2.55060202313751e-05,1.80535684931545
"Kodak_M1063_0_10022.dat",-2147483453,2147482435,-8390175.35035847,216002,1239650998.25914,0.000260724715042664,1.804820970742
"Kodak_M1063_0_10023.dat",-2147483583,2147483588,-8049151.33632563,667139,1239472695.93002,-5.88138279084247e-06,1.80489739092863
"Kodak_M1063_0_10024.dat",-2147483582,2147483329,-8572039.20716794,279742,1239339947.62938,0.000300114584852414,1.804938395704
"Kodak_M1063_0_10025.dat",-2147483582,2147483331,-8051180.70426204,376001,1239409408.62586,6.67847352769632e-05,1.80499547809442
"Kodak_M1063_0_10026.dat",-2147483583,2147482305,-8081338.1901571,494785.5,1239301867.28096,-0.000151178186391145,1.80512305945752
"Kodak_M1063_0_10027.dat",-2147483582,2147482433,-8421799.78286064,289088.5,1239287100.46058,0.00034566340524513,1.80518713592764
"Kodak_M1063_0_10028.dat",-2147483582,2147483331,-8234733.96273158,507904,1239424572.67837,0.000312708559630899,1.80517430269369
"Kodak_M1063_0_10029.dat",-2147483580,2147483203,-7735686.64776998,671999,1239634881.88205,-0.000474171350987044,1.8048906370591
"Kodak_M1063_0_10030.dat",-2147483453,2147483330,-8737124.64536788,129474.5,1239556186.08517,0.000752093528576826,1.80459738814279
"Kodak_M1063_0_10031.dat",-2147483584,2147483331,-8038318.35375415,707651,1239271535.56756,-0.000113724065251832,1.80524921051876
"Kodak_M1063_0_10032.dat",-2147483581,2147483203,-8111260.95293093,344706,1239131805.66599,7.25821562396278e-05,1.80548487959852
"Kodak_M1063_0_9375.dat",-2147483583,2147483587,-8358895.41449493,698559,1239174687.2172,-7.7324857219151e-05,1.80549637960268
"Kodak_M1063_0_9376.dat",-2147483583,2147483331,-7961239.52952812,709570.5,1239202944.98611,-0.000193107369064171,1.80534280093815
"Kodak_M1063_0_9377.dat",-2147483580,2147482050,-8225824.68795061,364481,1239369153.1849,0.000251671557126623,1.80475428044771
"Kodak_M1063_0_9378.dat",-2147483580,2147482563,-8035586.87449676,450561,1239402009.76569,0.00016154194380633,1.80497322664045
"Kodak_M1063_0_9379.dat",-2147483582,2147483203,-8438918.64510325,180931,1239369818.74835,0.000206725293849099,1.80488203394327
"Kodak_M1063_0_9380.dat",-2147483582,2147482179,-7821188.21730036,543425.5,1239328854.6593,-0.00019497586426943,1.80544280845971
"Kodak_M1063_0_9381.dat",-2147483455,2147483588,-8098730.29051388,685122,1239238176.02619,-0.000376621443215402,1.80533083287672
"Kodak_M1063_0_9382.dat",-2147483453,2147483587,-8177716.0227607,303808,1239414430.78126,0.000421136071105259,1.80488217686292
"Kodak_M1063_0_9383.dat",-2147483452,2147482819,-8661982.88392099,88835.5,1239330950.22186,0.000701063526963627,1.80523463353404
"Kodak_M1063_0_9384.dat",-2147483454,2147483459,-8051312.55172728,544129.5,1239365037.5032,8.76605152692039e-05,1.80524533015006
"Kodak_M1063_0_9385.dat",-2147483582,2147483458,-7855775.57269603,501312,1239440171.89081,-0.000240517424594612,1.80472470216507
"Kodak_M1063_0_9386.dat",-2147483583,2147483459,-7840780.47074629,568190.5,1239410651.28641,-2.76164906502937e-05,1.80506384138457
"Kodak_M1063_0_9457.dat",-2147483580,2147483330,-7513621.29069454,916227,1239251333.05931,-0.000804393177267904,1.80511108502441
"Kodak_M1063_0_9458.dat",-2147483454,2147483586,-8080887.36683726,574014.5,1239568810.69722,0.000110282359099407,1.80493180832435
"Kodak_M1063_0_9459.dat",-2147483453,2147483587,-7951365.48390125,532163.5,1239564979.27089,-5.97985935439969e-05,1.80490198082445
"Kodak_M1063_0_9463.dat",-2147483580,2147483587,-8172476.21666551,503294.5,1239336360.40407,0.000131949659491946,1.80496395459544
"Kodak_M1063_0_9464.dat",-2147483581,2147482307,-7791227.89800576,815747,1239596312.31557,-0.000284272963138024,1.80462717748343
"Kodak_M1063_0_9465.dat",-2147483453,2147483458,-8073221.11545465,444862.5,1239254147.23661,1.36606764698789e-05,1.80509550488303
