"file_names","median"
"Kodak_M1063_0_10021.dat","653250.5"
"Kodak_M1063_0_10022.dat","216002"
"Kodak_M1063_0_10023.dat","667139"
"Kodak_M1063_0_10024.dat","279742"
"Kodak_M1063_0_10025.dat","376001"
"Kodak_M1063_0_10026.dat","494785.5"
"Kodak_M1063_0_10027.dat","289088.5"
"Kodak_M1063_0_10028.dat","507904"
"Kodak_M1063_0_10029.dat","671999"
"Kodak_M1063_0_10030.dat","129474.5"
"Kodak_M1063_0_10031.dat","707651"
"Kodak_M1063_0_10032.dat","344706"
"Kodak_M1063_0_9375.dat","698559"
"Kodak_M1063_0_9376.dat","709570.5"
"Kodak_M1063_0_9377.dat","364481"
"Kodak_M1063_0_9378.dat","450561"
"Kodak_M1063_0_9379.dat","180931"
"Kodak_M1063_0_9380.dat","543425.5"
"Kodak_M1063_0_9381.dat","685122"
"Kodak_M1063_0_9382.dat","303808"
"Kodak_M1063_0_9383.dat","88835.5"
"Kodak_M1063_0_9384.dat","544129.5"
"Kodak_M1063_0_9385.dat","501312"
"Kodak_M1063_0_9386.dat","568190.5"
"Kodak_M1063_0_9457.dat","916227"
"Kodak_M1063_0_9458.dat","574014.5"
"Kodak_M1063_0_9459.dat","532163.5"
"Kodak_M1063_0_9463.dat","503294.5"
"Kodak_M1063_0_9464.dat","815747"
"Kodak_M1063_0_9465.dat","444862.5"
"Kodak_M1063_0_9466.dat","433410"
"Kodak_M1063_0_9467.dat","32824"
"Kodak_M1063_0_9786.dat","215940"
"Kodak_M1063_0_9787.dat","550594.5"
"Kodak_M1063_0_9788.dat","966721.5"
"Kodak_M1063_0_9789.dat","1056830.5"
"Kodak_M1063_0_9790.dat","304194"
"Kodak_M1063_0_9791.dat","1107264.5"
"Kodak_M1063_0_9840.dat","87297.5"
"Kodak_M1063_0_9841.dat","519297"
"Kodak_M1063_0_9842.dat","740931.5"
"Kodak_M1063_0_9843.dat","461636.5"
"Kodak_M1063_0_9844.dat","328192"
"Kodak_M1063_0_9845.dat","586561"
"Kodak_M1063_0_9846.dat","936321"
"Kodak_M1063_0_9847.dat","954820"
"Kodak_M1063_0_9848.dat","536578"
"Kodak_M1063_0_9849.dat","381057"
"Kodak_M1063_0_9932.dat","732033"
"Kodak_M1063_0_9933.dat","956094"
"Kodak_M1063_0_9934.dat","670399"
"Kodak_M1063_0_9935.dat","827841.5"
"Kodak_M1063_0_9936.dat","119106.5"
"Kodak_M1063_0_9937.dat","760962"
"Kodak_M1063_0_9938.dat","193153.5"
"Kodak_M1063_0_9939.dat","478403.5"
"Kodak_M1063_0_9940.dat","645184"
"Kodak_M1063_0_9941.dat","296254.5"
"Kodak_M1063_0_9942.dat","1065411"
"Kodak_M1063_0_9943.dat","476289.5"
"Kodak_M1063_0_9944.dat","326337.5"
"Kodak_M1063_1_10042.dat","629442"
"Kodak_M1063_1_10043.dat","567234"
"Kodak_M1063_1_10044.dat","244864.5"
"Kodak_M1063_1_10045.dat","725313.5"
"Kodak_M1063_1_10046.dat","739330"
"Kodak_M1063_1_10047.dat","833602.5"
"Kodak_M1063_1_10048.dat","703552.5"
"Kodak_M1063_1_10049.dat","559104.5"
"Kodak_M1063_1_10050.dat","280322.5"
"Kodak_M1063_1_10051.dat","634689"
"Kodak_M1063_1_10052.dat","291072"
"Kodak_M1063_1_10053.dat","545283.5"
"Kodak_M1063_1_10091.dat","32953"
"Kodak_M1063_1_10092.dat","290242"
"Kodak_M1063_1_10093.dat","571904.5"
"Kodak_M1063_1_10094.dat","923715.5"
"Kodak_M1063_1_10095.dat","592447.5"
"Kodak_M1063_1_10426.dat","793536.5"
"Kodak_M1063_1_10427.dat","844609"
"Kodak_M1063_1_10428.dat","464832.5"
"Kodak_M1063_1_10429.dat","301184.5"
"Kodak_M1063_1_10430.dat","375103.5"
"Kodak_M1063_1_10431.dat","665729.5"
"Kodak_M1063_1_10480.dat","541634.5"
"Kodak_M1063_1_10481.dat","759043"
"Kodak_M1063_1_10482.dat","855875.5"
"Kodak_M1063_1_10483.dat","688835"
"Kodak_M1063_1_10484.dat","887936"
"Kodak_M1063_1_10485.dat","354560.5"
"Kodak_M1063_1_10486.dat","423616"
"Kodak_M1063_1_10487.dat","749121"
"Kodak_M1063_1_10488.dat","811520"
"Kodak_M1063_1_10489.dat","974272.5"
"Kodak_M1063_1_10576.dat","69571"
"Kodak_M1063_1_10577.dat","55353.5"
"Kodak_M1063_1_10578.dat","372033.5"
"Kodak_M1063_1_10579.dat","914177.5"
"Kodak_M1063_1_10580.dat","932546"
"Kodak_M1063_1_10581.dat","736451"
"Kodak_M1063_1_10582.dat","511872"
"Kodak_M1063_1_10583.dat","847617.5"
"Kodak_M1063_1_10584.dat","465217"
"Kodak_M1063_1_10585.dat","350656.5"
"Kodak_M1063_1_10586.dat","808385"
"Kodak_M1063_1_10587.dat","825343.5"
"Kodak_M1063_1_10662.dat","625792.5"
"Kodak_M1063_1_10663.dat","431422.5"
"Kodak_M1063_1_10664.dat","1065345"
"Kodak_M1063_1_10665.dat","935551"
"Kodak_M1063_1_10666.dat","533249"
"Kodak_M1063_1_10667.dat","1074689.5"
"Kodak_M1063_1_10668.dat","767681"
"Kodak_M1063_1_10669.dat","392001.5"
"Kodak_M1063_1_10670.dat","491137.5"
"Kodak_M1063_1_10671.dat","966591.5"
"Kodak_M1063_1_10672.dat","930945"
"Kodak_M1063_1_10673.dat","628289.5"
"Kodak_M1063_2_10683.dat","898755.5"
"Kodak_M1063_2_10684.dat","195905"
