Camera,Feature1,Feature2,Feature3,log_lik1,log_lik2,log_lik3,log_lik4,clus_prob1,clus_prob2,clus_prob3,clus_prob4,pr$cluster_labels
Pentax_OptioA40_0_30522.JPG,78.288506,93.08606,-11.95415,-499.5145931177,-2.992535712,-145.7241070232,-262.6284180761,6.21268413935526E-008,0.9999998136,6.21268413935526E-008,6.21268413935526E-008,1
Pentax_OptioA40_0_30521.JPG,78.277802,93.11512,-12.056521,-501.5628457057,-2.9775058732,-146.4406612984,-263.3691224392,6.12000672883433E-008,0.9999998164,6.12000672883433E-008,6.12000672883433E-008,1
Pentax_OptioA40_0_30523.JPG,78.328484,93.017654,-11.628564,-493.6974568261,-3.0456266116,-143.6716609646,-260.5559001247,6.55143373919878E-008,0.9999998035,6.55143373919878E-008,6.55143373919878E-008,1
Pentax_OptioA40_0_30524.JPG,78.419769,93.015839,-11.431114,-491.8862525236,-3.0945269303,-142.8764044767,-259.6334223728,6.87976313115298E-008,0.9999997936,6.87976313115298E-008,6.87976313115298E-008,1
Pentax_OptioA40_0_30525.JPG,78.434494,93.035713,-12.070139,-501.60826823,-2.9974507443,-146.1617256184,-262.2592895055,6.24329483946916E-008,0.9999998127,6.24329483946916E-008,6.24329483946916E-008,1
Pentax_OptioA40_0_30526.JPG,78.404297,92.988655,-11.973135,-498.7666619116,-3.0030220485,-145.2585434914,-261.4171365747,6.27817520037022E-008,0.9999998117,6.27817520037022E-008,6.27817520037022E-008,1
Pentax_OptioA40_0_30527.JPG,78.479263,92.974022,-11.713002,-495.5268684659,-3.0558095511,-144.0050089202,-260.1182252811,6.6184873972748E-008,0.9999998014,6.6184873972748E-008,6.6184873972748E-008,1
Pentax_OptioA40_0_30528.JPG,78.513878,92.930328,-11.391173,-490.3645355922,-3.1121022661,-142.1865038526,-258.3759772627,0.00000007,0.9999997899,0.00000007,0.00000007,1
Pentax_OptioA40_0_30529.JPG,78.23513,93.149933,-12.053324,-501.8735436516,-2.9731182714,-146.6239207614,-263.8198417153,6.09321340544326E-008,0.9999998172,6.09321340544326E-008,6.09321340544326E-008,1
Pentax_OptioA40_0_30530.JPG,78.303612,93.09256,-11.941436,-499.6493226705,-2.9975912712,-145.7390192558,-262.6224433527,6.24417225209243E-008,0.9999998127,6.24417225209243E-008,6.24417225209243E-008,1
Pentax_OptioA40_0_30531.JPG,78.393517,92.988762,-11.527398,-492.308317631,-3.0716847976,-143.0756133987,-259.7401623834,6.72439592583372E-008,0.9999997983,6.72439592583372E-008,6.72439592583372E-008,1
Pentax_OptioA40_0_30532.JPG,78.285278,93.042824,-11.222439,-488.157511981,-3.1087884573,-141.8703268475,-259.4201997364,6.97858201088899E-008,0.9999997906,6.97858201088899E-008,6.97858201088899E-008,1
