1918 2
Agfa_DC-830i_0_1002.JPG -3.860681 33.245457
Agfa_DC-830i_0_1000.JPG -0.821258 -0.996606
Agfa_DC-830i_0_1003.JPG -0.821254 -0.996637
Agfa_DC-830i_0_1004.JPG -0.821255 -0.996644
Agfa_DC-830i_0_1005.JPG -0.821254 -0.996650
Agfa_DC-830i_0_1006.JPG -0.821260 -0.996571
Agfa_DC-830i_0_1007.JPG -0.821250 -0.996661
Agfa_DC-830i_0_1008.JPG -0.821282 -0.996301
Agfa_DC-830i_0_1009.JPG -0.821262 -0.996546
Agfa_DC-830i_0_1010.JPG -0.821253 -0.996644
Agfa_DC-830i_0_1011.JPG -0.821248 -0.996697
Agfa_DC-830i_0_1012.JPG -0.821254 -0.996623
Agfa_DC-830i_0_1013.JPG -0.821264 -0.996505
Agfa_DC-830i_0_1014.JPG -0.821276 -0.996361
Agfa_DC-830i_0_1015.JPG -0.821247 -0.996716
Agfa_DC-830i_0_1016.JPG -0.821250 -0.996663
Agfa_DC-830i_0_1017.JPG -0.821259 -0.996564
Agfa_DC-830i_0_1018.JPG -0.821247 -0.996704
Agfa_DC-830i_0_1019.JPG -0.821250 -0.996674
Agfa_DC-830i_0_1020.JPG -0.821239 -0.996801
Agfa_DC-830i_0_1022.JPG -0.821250 -0.996670
Agfa_DC-830i_0_1023.JPG -0.821247 -0.996714
Agfa_DC-830i_0_1024.JPG -0.821254 -0.996647
Agfa_DC-830i_0_1025.JPG -0.821248 -0.996698
Agfa_DC-830i_0_1026.JPG -0.821244 -0.996737
Agfa_DC-830i_0_1027.JPG -0.821239 -0.996790
Agfa_DC-830i_0_1028.JPG -0.821250 -0.996659
Agfa_DC-830i_0_1029.JPG -0.821251 -0.996670
Agfa_DC-830i_0_1030.JPG -0.821249 -0.996698
Agfa_DC-830i_0_1031.JPG -0.821242 -0.996771
Agfa_DC-830i_0_1032.JPG -0.821260 -0.996544
Agfa_DC-830i_0_1033.JPG -0.821242 -0.996773
Agfa_DC-830i_0_1034.JPG -0.821241 -0.996776
Agfa_DC-830i_0_1035.JPG -0.821243 -0.996772
Agfa_DC-830i_0_1036.JPG -0.821243 -0.996763
Agfa_DC-830i_0_1037.JPG -0.821236 -0.996836
Agfa_DC-830i_0_1038.JPG -0.821238 -0.996804
Agfa_DC-830i_0_1039.JPG -0.821238 -0.996820
Agfa_DC-830i_0_1040.JPG -0.821241 -0.996784
Agfa_DC-830i_0_1041.JPG -0.821239 -0.996800
Agfa_DC-830i_0_1042.JPG -0.821238 -0.996812
Agfa_DC-830i_0_1043.JPG -0.821284 -0.996268
Agfa_DC-830i_0_1044.JPG -0.821280 -0.996306
Agfa_DC-830i_0_1045.JPG -0.821303 -0.996050
Agfa_DC-830i_0_1046.JPG -0.821242 -0.996759
Agfa_DC-830i_0_1047.JPG -0.821252 -0.996623
Agfa_DC-830i_0_1048.JPG -0.821257 -0.996569
Agfa_DC-830i_0_1049.JPG -0.821258 -0.996542
Agfa_DC-830i_0_1050.JPG -0.821261 -0.996528
Agfa_DC-830i_0_1051.JPG -0.821250 -0.996674
Agfa_DC-830i_0_1052.JPG -0.821288 -0.996217
Agfa_DC-830i_0_1053.JPG -0.821273 -0.996396
Agfa_DC-830i_0_1054.JPG -0.821275 -0.996362
Agfa_DC-830i_0_1055.JPG -0.821239 -0.996798
Agfa_DC-830i_0_1057.JPG -0.821245 -0.996716
Agfa_DC-830i_0_1058.JPG -0.821239 -0.996801
Agfa_DC-830i_0_1059.JPG -0.821238 -0.996824
Agfa_DC-830i_0_1061.JPG -0.821242 -0.996777
Agfa_DC-830i_0_1063.JPG -0.821232 -0.996876
Agfa_DC-830i_0_1064.JPG -0.821241 -0.996753
Agfa_DC-830i_0_1065.JPG -0.821244 -0.996730
Agfa_DC-830i_0_1066.JPG -0.821248 -0.996663
Agfa_DC-830i_0_1067.JPG -0.821243 -0.996769
Agfa_DC-830i_0_1068.JPG -0.821235 -0.996841
Agfa_DC-830i_0_1069.JPG -0.821242 -0.996771
Agfa_DC-830i_0_1070.JPG -0.821255 -0.996596
Agfa_DC-830i_0_1071.JPG -0.821244 -0.996719
Agfa_DC-830i_0_1072.JPG -0.821260 -0.996550
Agfa_DC-830i_0_1073.JPG -0.821242 -0.996774
Agfa_DC-830i_0_1074.JPG -0.821237 -0.996818
Agfa_DC-830i_0_1075.JPG -0.821245 -0.996714
Agfa_DC-830i_0_1076.JPG -0.821246 -0.996696
Agfa_DC-830i_0_1077.JPG -0.821249 -0.996674
Agfa_DC-830i_0_1078.JPG -0.821237 -0.996805
Agfa_DC-830i_0_1079.JPG -0.821233 -0.996846
Agfa_DC-830i_0_1080.JPG -0.821246 -0.996725
Agfa_DC-830i_0_1081.JPG -0.821239 -0.996789
Agfa_DC-830i_0_1082.JPG -0.821240 -0.996776
Agfa_DC-830i_0_1083.JPG -0.821243 -0.996727
Agfa_DC-830i_0_1084.JPG -0.821234 -0.996845
Agfa_DC-830i_0_1085.JPG -0.821239 -0.996796
Agfa_DC-830i_0_1086.JPG -0.821242 -0.996765
Agfa_DC-830i_0_1087.JPG -0.821248 -0.996674
Agfa_DC-830i_0_1088.JPG -0.821242 -0.996751
Agfa_DC-830i_0_1089.JPG -0.821242 -0.996760
Agfa_DC-830i_0_1090.JPG -0.821243 -0.996737
Agfa_DC-830i_0_1091.JPG -0.821239 -0.996785
Agfa_DC-830i_0_1092.JPG -0.821238 -0.996787
Agfa_DC-830i_0_1093.JPG -0.821238 -0.996801
Agfa_DC-830i_0_1094.JPG -0.821227 -0.996919
Agfa_DC-830i_0_1095.JPG -0.821230 -0.996880
Agfa_DC-830i_0_1096.JPG -0.821230 -0.996879
Agfa_DC-830i_0_1097.JPG -0.821232 -0.996870
Agfa_DC-830i_0_1098.JPG -0.821234 -0.996845
Agfa_DC-830i_0_1099.JPG -0.821234 -0.996844
Agfa_DC-830i_0_1100.JPG -0.821246 -0.996694
Agfa_DC-830i_0_1101.JPG -0.821235 -0.996837
Agfa_DC-830i_0_1102.JPG -0.821259 -0.996544
Agfa_DC-830i_0_1103.JPG -0.821234 -0.996853
Agfa_DC-830i_0_1104.JPG -0.821271 -0.996406
Agfa_DC-830i_0_1105.JPG -0.821230 -0.996900
Agfa_DC-830i_0_1106.JPG -0.821263 -0.996514
Agfa_DC-830i_0_1107.JPG -0.821234 -0.996845
Agfa_DC-830i_0_1108.JPG -0.821247 -0.996682
Agfa_DC-830i_0_1109.JPG -0.821236 -0.996816
Agfa_DC-830i_0_1110.JPG -0.821234 -0.996849
Agfa_DC-830i_0_1111.JPG -0.821229 -0.996907
Agfa_DC-830i_0_1112.JPG -0.821240 -0.996764
Agfa_DC-830i_0_1113.JPG -0.821232 -0.996868
Agfa_DC-830i_0_1114.JPG -0.821258 -0.996549
Agfa_DC-830i_0_1115.JPG -0.821232 -0.996868
Agfa_DC-830i_0_1116.JPG -0.821272 -0.996399
Agfa_DC-830i_0_1117.JPG -0.821226 -0.996945
Agfa_DC-830i_0_1118.JPG -0.821251 -0.996633
Agfa_DC-830i_0_1119.JPG -0.821232 -0.996867
Agfa_DC-830i_0_1120.JPG -0.821239 -0.996757
Agfa_DC-830i_0_1121.JPG -0.821227 -0.996911
Agfa_DC-830i_0_1122.JPG -0.821240 -0.996769
Agfa_DC-830i_0_1123.JPG -0.821233 -0.996852
Agfa_DC-830i_0_1124.JPG -0.821246 -0.996684
Agfa_DC-830i_0_1125.JPG -0.821235 -0.996838
Agfa_DC-830i_0_1126.JPG -0.821256 -0.996571
